28843	1	16	N		개인1	1	2	3	개인|개인연락처^	[직급] 사원
28843	41	1016	D		ADDR1001					
28843	42	10025	D		ADDR10010					
28843	43	10026	D		ADDR10011					
28843	44	10027	D		ADDR10012					
28843	45	10028	D		ADDR10013					
28843	46	10029	D		ADDR10014					
28843	47	10030	D		ADDR10015					
28843	48	10031	D		ADDR10016					
28843	49	10032	D		ADDR10017					
28843	50	10033	D		ADDR10018					
28843	51	10034	D		ADDR10019					
28843	52	1017	D		ADDR1002					
28843	53	10035	D		ADDR10020					
28843	54	10036	D		ADDR10021					
28843	55	10037	D		ADDR10022					
28843	56	10038	D		ADDR10023					
28843	57	10039	D		ADDR10024					
28843	58	10040	D		ADDR10025					
28843	59	10041	D		ADDR10026					
28843	60	10042	D		ADDR10027					
28843	61	10043	D		ADDR10028					
28843	62	10044	D		ADDR10029					
28843	63	1018	D		ADDR1003					
28843	64	10045	D		ADDR10030					
28843	65	10046	D		ADDR10031					
28843	66	10047	D		ADDR10032					
28843	67	10048	D		ADDR10033					
28843	68	10049	D		ADDR10034					
28843	69	10050	D		ADDR10035					
28843	70	10051	D		ADDR10036					
28843	71	10052	D		ADDR10037					
28843	72	10053	D		ADDR10038					
28843	73	10054	D		ADDR10039					
28843	74	1019	D		ADDR1004					
28843	75	10055	D		ADDR10040					
28843	76	10056	D		ADDR10041					
28843	77	10057	D		ADDR10042					
28843	78	10058	D		ADDR10043					
28843	79	10059	D		ADDR10044					
28843	80	10060	D		ADDR10045					
28843	81	10061	D		ADDR10046					
28843	82	10062	D		ADDR10047					
28843	83	10063	D		ADDR10048					
28843	84	10064	D		ADDR10049					
28843	85	1020	D		ADDR1005					
28843	86	10065	D		ADDR10050					
28843	87	10066	D		ADDR10051					
28843	88	10067	D		ADDR10052					
28843	89	10068	D		ADDR10053					
28843	90	10069	D		ADDR10054					
28843	91	10070	D		ADDR10055					
28843	92	10071	D		ADDR10056					
28843	93	10072	D		ADDR10057					
28843	94	10073	D		ADDR10058					
28843	95	10074	D		ADDR10059					
28843	96	1021	D		ADDR1006					
28843	97	10075	D		ADDR10060					
28843	98	10076	D		ADDR10061					
28843	99	10077	D		ADDR10062					
28843	100	10078	D		ADDR10063					
28843	101	10079	D		ADDR10064					
28843	102	10080	D		ADDR10065					
28843	103	10081	D		ADDR10066					
28843	104	10082	D		ADDR10067					
28843	105	10083	D		ADDR10068					
28843	106	10084	D		ADDR10069					
28843	107	1022	D		ADDR1007					
28843	108	10085	D		ADDR10070					
28843	109	10086	D		ADDR10071					
28843	110	10087	D		ADDR10072					
28843	111	10088	D		ADDR10073					
28843	112	10089	D		ADDR10074					
28843	113	10090	D		ADDR10075					
28843	114	10091	D		ADDR10076					
28843	115	10092	D		ADDR10077					
28843	116	10093	D		ADDR10078					
28843	117	10094	D		ADDR10079					
28843	118	1023	D		ADDR1008					
28843	119	10095	D		ADDR10080					
28843	120	10096	D		ADDR10081					
28843	121	10097	D		ADDR10082					
28843	122	10098	D		ADDR10083					
28843	123	10099	D		ADDR10084					
28843	124	10100	D		ADDR10085					
28843	125	10101	D		ADDR10086					
28843	126	10102	D		ADDR10087					
28843	127	10103	D		ADDR10088					
28843	128	10104	D		ADDR10089					
28843	129	1024	D		ADDR1009					
28843	130	10105	D		ADDR10090					
28843	131	10106	D		ADDR10091					
28843	132	10107	D		ADDR10092					
28843	133	10108	D		ADDR10093					
28843	134	10109	D		ADDR10094					
28843	135	10110	D		ADDR10095					
28843	136	10111	D		ADDR10096					
28843	137	10112	D		ADDR10097					
28843	138	10113	D		ADDR10098					
28843	139	10114	D		ADDR10099					
28843	140	116	D		ADDR101					
28843	141	1025	D		ADDR1010					
28843	142	10115	D		ADDR10100					
28843	143	10116	D		ADDR10101					
28843	144	10117	D		ADDR10102					
28843	145	10118	D		ADDR10103					
28843	146	10119	D		ADDR10104					
28843	147	10120	D		ADDR10105					
28843	148	10121	D		ADDR10106					
28843	149	10122	D		ADDR10107					
28843	150	10123	D		ADDR10108					
28843	151	10124	D		ADDR10109					
28843	152	1026	D		ADDR1011					
28843	153	10125	D		ADDR10110					
28843	154	10126	D		ADDR10111					
28843	155	10127	D		ADDR10112					
28843	156	10128	D		ADDR10113					
28843	157	10129	D		ADDR10114					
28843	158	10130	D		ADDR10115					
28843	159	10131	D		ADDR10116					
28843	160	10132	D		ADDR10117					
28843	161	10133	D		ADDR10118					
28843	162	10134	D		ADDR10119					
28843	163	1027	D		ADDR1012					
28843	164	10135	D		ADDR10120					
28843	165	10136	D		ADDR10121					
28843	166	10137	D		ADDR10122					
28843	167	10138	D		ADDR10123					
28843	168	10139	D		ADDR10124					
28843	169	10140	D		ADDR10125					
28843	170	10141	D		ADDR10126					
28843	171	10142	D		ADDR10127					
28843	172	10143	D		ADDR10128					
28843	173	10144	D		ADDR10129					
28843	174	1028	D		ADDR1013					
28843	175	10145	D		ADDR10130					
28843	176	10146	D		ADDR10131					
28843	177	10147	D		ADDR10132					
28843	178	10148	D		ADDR10133					
28843	179	10149	D		ADDR10134					
28843	180	10150	D		ADDR10135					
28843	181	10151	D		ADDR10136					
28843	182	10152	D		ADDR10137					
28843	183	10153	D		ADDR10138					
28843	184	10154	D		ADDR10139					
28843	185	1029	D		ADDR1014					
28843	186	10155	D		ADDR10140					
28843	187	10156	D		ADDR10141					
28843	188	10157	D		ADDR10142					
28843	189	10158	D		ADDR10143					
28843	190	10159	D		ADDR10144					
28843	191	10160	D		ADDR10145					
28843	192	10161	D		ADDR10146					
28843	193	10162	D		ADDR10147					
28843	194	10163	D		ADDR10148					
28843	195	10164	D		ADDR10149					
28843	196	1030	D		ADDR1015					
28843	197	10165	D		ADDR10150					
28843	198	10166	D		ADDR10151					
28843	199	10167	D		ADDR10152					
28843	200	10168	D		ADDR10153					
28843	201	10169	D		ADDR10154					
28843	202	10170	D		ADDR10155					
28843	203	10171	D		ADDR10156					
28843	204	10172	D		ADDR10157					
28843	205	10173	D		ADDR10158					
28843	206	10174	D		ADDR10159					
28843	207	1031	D		ADDR1016					
28843	208	10175	D		ADDR10160					
28843	209	10176	D		ADDR10161					
28843	210	10177	D		ADDR10162					
28843	211	10178	D		ADDR10163					
28843	212	10179	D		ADDR10164					
28843	213	10180	D		ADDR10165					
28843	214	10181	D		ADDR10166					
28843	215	10182	D		ADDR10167					
28843	216	10183	D		ADDR10168					
28843	217	10184	D		ADDR10169					
28843	218	1032	D		ADDR1017					
28843	219	10185	D		ADDR10170					
28843	220	10186	D		ADDR10171					
28843	221	10187	D		ADDR10172					
28843	222	10188	D		ADDR10173					
28843	223	10189	D		ADDR10174					
28843	224	10190	D		ADDR10175					
28843	225	10191	D		ADDR10176					
28843	226	10192	D		ADDR10177					
28843	227	10193	D		ADDR10178					
28843	228	10194	D		ADDR10179					
28843	229	1033	D		ADDR1018					
28843	230	10195	D		ADDR10180					
28843	231	10196	D		ADDR10181					
28843	232	10197	D		ADDR10182					
28843	233	10198	D		ADDR10183					
28843	234	10199	D		ADDR10184					
28843	235	10200	D		ADDR10185					
28843	236	10201	D		ADDR10186					
28843	237	10202	D		ADDR10187					
28843	238	10203	D		ADDR10188					
28843	239	10204	D		ADDR10189					
28843	240	1034	D		ADDR1019					
28843	241	10205	D		ADDR10190					
28843	242	10206	D		ADDR10191					
28843	243	10207	D		ADDR10192					
28843	244	10208	D		ADDR10193					
28843	245	10209	D		ADDR10194					
28843	246	10210	D		ADDR10195					
28843	247	10211	D		ADDR10196					
28843	248	10212	D		ADDR10197					
28843	249	10213	D		ADDR10198					
28843	250	10214	D		ADDR10199					
28843	251	117	D		ADDR102					
28843	252	1035	D		ADDR1020					
28843	253	10215	D		ADDR10200					
28843	254	10216	D		ADDR10201					
28843	255	10217	D		ADDR10202					
28843	256	10218	D		ADDR10203					
28843	257	10219	D		ADDR10204					
28843	258	10220	D		ADDR10205					
28843	259	10221	D		ADDR10206					
28843	260	10222	D		ADDR10207					
28843	261	10223	D		ADDR10208					
28843	262	10224	D		ADDR10209					
28843	263	1036	D		ADDR1021					
28843	264	10225	D		ADDR10210					
28843	265	10226	D		ADDR10211					
28843	266	10227	D		ADDR10212					
28843	267	10228	D		ADDR10213					
28843	268	10229	D		ADDR10214					
28843	269	10230	D		ADDR10215					
28843	270	10231	D		ADDR10216					
28843	271	10232	D		ADDR10217					
28843	272	10233	D		ADDR10218					
28843	273	10234	D		ADDR10219					
28843	274	1037	D		ADDR1022					
28843	275	10235	D		ADDR10220					
28843	276	10236	D		ADDR10221					
28843	277	10237	D		ADDR10222					
28843	278	10238	D		ADDR10223					
28843	279	10239	D		ADDR10224					
28843	280	10240	D		ADDR10225					
28843	281	10241	D		ADDR10226					
28843	282	10242	D		ADDR10227					
28843	283	10243	D		ADDR10228					
28843	284	10244	D		ADDR10229					
28843	285	1038	D		ADDR1023					
28843	286	10245	D		ADDR10230					
28843	287	10246	D		ADDR10231					
28843	288	10247	D		ADDR10232					
28843	289	10248	D		ADDR10233					
28843	290	10249	D		ADDR10234					
28843	291	10250	D		ADDR10235					
28843	292	10251	D		ADDR10236					
28843	293	10252	D		ADDR10237					
28843	294	10253	D		ADDR10238					
28843	295	10254	D		ADDR10239					
28843	296	1039	D		ADDR1024					
28843	297	10255	D		ADDR10240					
28843	298	10256	D		ADDR10241					
28843	299	10257	D		ADDR10242					
28843	300	10258	D		ADDR10243					
28843	301	10259	D		ADDR10244					
28843	302	10260	D		ADDR10245					
28843	303	10261	D		ADDR10246					
28843	304	10262	D		ADDR10247					
28843	305	10263	D		ADDR10248					
28843	306	10264	D		ADDR10249					
28843	307	1040	D		ADDR1025					
28843	308	10265	D		ADDR10250					
28843	309	10266	D		ADDR10251					
28843	310	10267	D		ADDR10252					
28843	311	10268	D		ADDR10253					
28843	312	10269	D		ADDR10254					
28843	313	10270	D		ADDR10255					
28843	314	10271	D		ADDR10256					
28843	315	10272	D		ADDR10257					
28843	316	10273	D		ADDR10258					
28843	317	10274	D		ADDR10259					
28843	318	1041	D		ADDR1026					
28843	319	10275	D		ADDR10260					
28843	320	10276	D		ADDR10261					
28843	321	10277	D		ADDR10262					
28843	322	10278	D		ADDR10263					
28843	323	10279	D		ADDR10264					
28843	324	10280	D		ADDR10265					
28843	325	10281	D		ADDR10266					
28843	326	10282	D		ADDR10267					
28843	327	10283	D		ADDR10268					
28843	328	10284	D		ADDR10269					
28843	329	1042	D		ADDR1027					
28843	330	10285	D		ADDR10270					
28843	331	10286	D		ADDR10271					
28843	332	10287	D		ADDR10272					
28843	333	10288	D		ADDR10273					
28843	334	10289	D		ADDR10274					
28843	335	10290	D		ADDR10275					
28843	336	10291	D		ADDR10276					
28843	337	10292	D		ADDR10277					
28843	338	10293	D		ADDR10278					
28843	339	10294	D		ADDR10279					
28843	340	1043	D		ADDR1028					
28843	341	10295	D		ADDR10280					
28843	342	10296	D		ADDR10281					
28843	343	10297	D		ADDR10282					
28843	344	10298	D		ADDR10283					
28843	345	10299	D		ADDR10284					
28843	346	10300	D		ADDR10285					
28843	347	10301	D		ADDR10286					
28843	348	10302	D		ADDR10287					
28843	349	10303	D		ADDR10288					
28843	350	10304	D		ADDR10289					
28843	351	1044	D		ADDR1029					
28843	352	10305	D		ADDR10290					
28843	353	10306	D		ADDR10291					
28843	354	10307	D		ADDR10292					
28843	355	10308	D		ADDR10293					
28843	356	10309	D		ADDR10294					
28843	357	10310	D		ADDR10295					
28843	358	10311	D		ADDR10296					
28843	359	10312	D		ADDR10297					
28843	360	10313	D		ADDR10298					
28843	361	10314	D		ADDR10299					
28843	362	118	D		ADDR103					
28843	363	1045	D		ADDR1030					
28843	364	10315	D		ADDR10300					
28843	365	10316	D		ADDR10301					
28843	366	10317	D		ADDR10302					
28843	367	10318	D		ADDR10303					
28843	368	10319	D		ADDR10304					
28843	369	10320	D		ADDR10305					
28843	370	10321	D		ADDR10306					
28843	371	10322	D		ADDR10307					
28843	372	10323	D		ADDR10308					
28843	373	10324	D		ADDR10309					
28843	374	1046	D		ADDR1031					
28843	375	10325	D		ADDR10310					
28843	376	10326	D		ADDR10311					
28843	377	10327	D		ADDR10312					
28843	378	10328	D		ADDR10313					
28843	379	10329	D		ADDR10314					
28843	380	10330	D		ADDR10315					
28843	381	10331	D		ADDR10316					
28843	382	10332	D		ADDR10317					
28843	383	10333	D		ADDR10318					
28843	384	10334	D		ADDR10319					
28843	385	1047	D		ADDR1032					
28843	386	10335	D		ADDR10320					
28843	387	10336	D		ADDR10321					
28843	388	10337	D		ADDR10322					
28843	389	10338	D		ADDR10323					
28843	390	10339	D		ADDR10324					
28843	391	10340	D		ADDR10325					
28843	392	10341	D		ADDR10326					
28843	393	10342	D		ADDR10327					
28843	394	10343	D		ADDR10328					
28843	395	10344	D		ADDR10329					
28843	396	1048	D		ADDR1033					
28843	397	10345	D		ADDR10330					
28843	398	10346	D		ADDR10331					
28843	399	10347	D		ADDR10332					
28843	400	10348	D		ADDR10333					
28843	401	10349	D		ADDR10334					
28843	402	10350	D		ADDR10335					
28843	403	10351	D		ADDR10336					
28843	404	10352	D		ADDR10337					
28843	405	10353	D		ADDR10338					
28843	406	10354	D		ADDR10339					
28843	407	1049	D		ADDR1034					
28843	408	10355	D		ADDR10340					
28843	409	10356	D		ADDR10341					
28843	410	10357	D		ADDR10342					
28843	411	10358	D		ADDR10343					
28843	412	10359	D		ADDR10344					
28843	413	10360	D		ADDR10345					
28843	414	10361	D		ADDR10346					
28843	415	10362	D		ADDR10347					
28843	416	10363	D		ADDR10348					
28843	417	10364	D		ADDR10349					
28843	418	1050	D		ADDR1035					
28843	419	10365	D		ADDR10350					
28843	420	10366	D		ADDR10351					
28843	421	10367	D		ADDR10352					
28843	422	10368	D		ADDR10353					
28843	423	10369	D		ADDR10354					
28843	424	10370	D		ADDR10355					
28843	425	10371	D		ADDR10356					
28843	426	10372	D		ADDR10357					
28843	427	10373	D		ADDR10358					
28843	428	10374	D		ADDR10359					
28843	429	1051	D		ADDR1036					
28843	430	10375	D		ADDR10360					
28843	431	10376	D		ADDR10361					
28843	432	10377	D		ADDR10362					
28843	433	10378	D		ADDR10363					
28843	434	10379	D		ADDR10364					
28843	435	10380	D		ADDR10365					
28843	436	10381	D		ADDR10366					
28843	437	10382	D		ADDR10367					
28843	438	10383	D		ADDR10368					
28843	439	10384	D		ADDR10369					
28843	440	1052	D		ADDR1037					
28843	441	10385	D		ADDR10370					
28843	442	10386	D		ADDR10371					
28843	443	10387	D		ADDR10372					
28843	444	10388	D		ADDR10373					
28843	445	10389	D		ADDR10374					
28843	446	10390	D		ADDR10375					
28843	447	10391	D		ADDR10376					
28843	448	10392	D		ADDR10377					
28843	449	10393	D		ADDR10378					
28843	450	10394	D		ADDR10379					
28843	451	1053	D		ADDR1038					
28843	452	10395	D		ADDR10380					
28843	453	10396	D		ADDR10381					
28843	454	10397	D		ADDR10382					
28843	455	10398	D		ADDR10383					
28843	456	10399	D		ADDR10384					
28843	457	10400	D		ADDR10385					
28843	458	10401	D		ADDR10386					
28843	459	10402	D		ADDR10387					
28843	460	10403	D		ADDR10388					
28843	461	10404	D		ADDR10389					
28843	462	1054	D		ADDR1039					
28843	463	10405	D		ADDR10390					
28843	464	10406	D		ADDR10391					
28843	465	10407	D		ADDR10392					
28843	466	10408	D		ADDR10393					
28843	467	10409	D		ADDR10394					
28843	468	10410	D		ADDR10395					
28843	469	10411	D		ADDR10396					
28843	470	10412	D		ADDR10397					
28843	471	10413	D		ADDR10398					
28843	472	10414	D		ADDR10399					
28843	473	119	D		ADDR104					
28843	474	1055	D		ADDR1040					
28843	475	10415	D		ADDR10400					
28843	476	10416	D		ADDR10401					
28843	477	10417	D		ADDR10402					
28843	478	10418	D		ADDR10403					
28843	479	10419	D		ADDR10404					
28843	480	10420	D		ADDR10405					
28843	481	10421	D		ADDR10406					
28843	482	10422	D		ADDR10407					
28843	483	10423	D		ADDR10408					
28843	484	10424	D		ADDR10409					
28843	485	1056	D		ADDR1041					
28843	486	10425	D		ADDR10410					
28843	487	10426	D		ADDR10411					
28843	488	10427	D		ADDR10412					
28843	489	10428	D		ADDR10413					
28843	490	10429	D		ADDR10414					
28843	491	10430	D		ADDR10415					
28843	492	10431	D		ADDR10416					
28843	493	10432	D		ADDR10417					
28843	494	10433	D		ADDR10418					
28843	495	10434	D		ADDR10419					
28843	496	1057	D		ADDR1042					
28843	497	10435	D		ADDR10420					
28843	498	10436	D		ADDR10421					
28843	499	10437	D		ADDR10422					
28843	500	10438	D		ADDR10423					
28843	501	10439	D		ADDR10424					
28843	502	10440	D		ADDR10425					
28843	503	10441	D		ADDR10426					
28843	504	10442	D		ADDR10427					
28843	505	10443	D		ADDR10428					
28843	506	10444	D		ADDR10429					
28843	507	1058	D		ADDR1043					
28843	508	10445	D		ADDR10430					
28843	509	10446	D		ADDR10431					
28843	510	10447	D		ADDR10432					
28843	511	10448	D		ADDR10433					
28843	512	10449	D		ADDR10434					
28843	513	10450	D		ADDR10435					
28843	514	10451	D		ADDR10436					
28843	515	10452	D		ADDR10437					
28843	516	10453	D		ADDR10438					
28843	517	10454	D		ADDR10439					
28843	518	1059	D		ADDR1044					
28843	519	10455	D		ADDR10440					
28843	520	10456	D		ADDR10441					
28843	521	10457	D		ADDR10442					
28843	522	10458	D		ADDR10443					
28843	523	10459	D		ADDR10444					
28843	524	10460	D		ADDR10445					
28843	525	10461	D		ADDR10446					
28843	526	10462	D		ADDR10447					
28843	527	10463	D		ADDR10448					
28843	528	10464	D		ADDR10449					
28843	529	1060	D		ADDR1045					
28843	530	10465	D		ADDR10450					
28843	531	10466	D		ADDR10451					
28843	532	10467	D		ADDR10452					
28843	533	10468	D		ADDR10453					
28843	534	10469	D		ADDR10454					
28843	535	10470	D		ADDR10455					
28843	536	10471	D		ADDR10456					
28843	537	10472	D		ADDR10457					
28843	538	10473	D		ADDR10458					
28843	539	10474	D		ADDR10459					
28843	540	1061	D		ADDR1046					
28843	541	10475	D		ADDR10460					
28843	542	10476	D		ADDR10461					
28843	543	10477	D		ADDR10462					
28843	544	10478	D		ADDR10463					
28843	545	10479	D		ADDR10464					
28843	546	10480	D		ADDR10465					
28843	547	10481	D		ADDR10466					
28843	548	10482	D		ADDR10467					
28843	549	10483	D		ADDR10468					
28843	550	10484	D		ADDR10469					
28843	551	1062	D		ADDR1047					
28843	552	10485	D		ADDR10470					
28843	553	10486	D		ADDR10471					
28843	554	10487	D		ADDR10472					
28843	555	10488	D		ADDR10473					
28843	556	10489	D		ADDR10474					
28843	557	10490	D		ADDR10475					
28843	558	10491	D		ADDR10476					
28843	559	10492	D		ADDR10477					
28843	560	10493	D		ADDR10478					
28843	561	10494	D		ADDR10479					
28843	562	1063	D		ADDR1048					
28843	563	10495	D		ADDR10480					
28843	564	10496	D		ADDR10481					
28843	565	10497	D		ADDR10482					
28843	566	10498	D		ADDR10483					
28843	567	10499	D		ADDR10484					
28843	568	10500	D		ADDR10485					
28843	569	10501	D		ADDR10486					
28843	570	10502	D		ADDR10487					
28843	571	10503	D		ADDR10488					
28843	572	10504	D		ADDR10489					
28843	573	1064	D		ADDR1049					
28843	574	10505	D		ADDR10490					
28843	575	10506	D		ADDR10491					
28843	576	10507	D		ADDR10492					
28843	577	10508	D		ADDR10493					
28843	578	10509	D		ADDR10494					
28843	579	10510	D		ADDR10495					
28843	580	10511	D		ADDR10496					
28843	581	10512	D		ADDR10497					
28843	582	10513	D		ADDR10498					
28843	583	10514	D		ADDR10499					
28843	584	120	D		ADDR105					
28843	585	1065	D		ADDR1050					
28843	586	10515	D		ADDR10500					
28843	587	10516	D		ADDR10501					
28843	588	10517	D		ADDR10502					
28843	589	10518	D		ADDR10503					
28843	590	10519	D		ADDR10504					
28843	591	10520	D		ADDR10505					
28843	592	10521	D		ADDR10506					
28843	593	10522	D		ADDR10507					
28843	594	10523	D		ADDR10508					
28843	595	10524	D		ADDR10509					
28843	596	1066	D		ADDR1051					
28843	597	10525	D		ADDR10510					
28843	598	10526	D		ADDR10511					
28843	599	10527	D		ADDR10512					
28843	600	10528	D		ADDR10513					
28843	601	10529	D		ADDR10514					
28843	602	10530	D		ADDR10515					
28843	603	10531	D		ADDR10516					
28843	604	10532	D		ADDR10517					
28843	605	10533	D		ADDR10518					
28843	606	10534	D		ADDR10519					
28843	607	1067	D		ADDR1052					
28843	608	10535	D		ADDR10520					
28843	609	10536	D		ADDR10521					
28843	610	10537	D		ADDR10522					
28843	611	10538	D		ADDR10523					
28843	612	10539	D		ADDR10524					
28843	613	10540	D		ADDR10525					
28843	614	10541	D		ADDR10526					
28843	615	10542	D		ADDR10527					
28843	616	10543	D		ADDR10528					
28843	617	10544	D		ADDR10529					
28843	618	1068	D		ADDR1053					
28843	619	10545	D		ADDR10530					
28843	620	10546	D		ADDR10531					
28843	621	10547	D		ADDR10532					
28843	622	10548	D		ADDR10533					
28843	623	10549	D		ADDR10534					
28843	624	10550	D		ADDR10535					
28843	625	10551	D		ADDR10536					
28843	626	10552	D		ADDR10537					
28843	627	10553	D		ADDR10538					
28843	628	10554	D		ADDR10539					
28843	629	1069	D		ADDR1054					
28843	630	10555	D		ADDR10540					
28843	631	10556	D		ADDR10541					
28843	632	10557	D		ADDR10542					
28843	633	10558	D		ADDR10543					
28843	634	10559	D		ADDR10544					
28843	635	10560	D		ADDR10545					
28843	636	10561	D		ADDR10546					
28843	637	10562	D		ADDR10547					
28843	638	10563	D		ADDR10548					
28843	639	10564	D		ADDR10549					
28843	640	1070	D		ADDR1055					
28843	641	10565	D		ADDR10550					
28843	642	10566	D		ADDR10551					
28843	643	10567	D		ADDR10552					
28843	644	10568	D		ADDR10553					
28843	645	10569	D		ADDR10554					
28843	646	10570	D		ADDR10555					
28843	647	10571	D		ADDR10556					
28843	648	10572	D		ADDR10557					
28843	649	10573	D		ADDR10558					
28843	650	10574	D		ADDR10559					
28843	651	1071	D		ADDR1056					
28843	652	10575	D		ADDR10560					
28843	653	10576	D		ADDR10561					
28843	654	10577	D		ADDR10562					
28843	655	10578	D		ADDR10563					
28843	656	10579	D		ADDR10564					
28843	657	10580	D		ADDR10565					
28843	658	10581	D		ADDR10566					
28843	659	10582	D		ADDR10567					
28843	660	10583	D		ADDR10568					
28843	661	10584	D		ADDR10569					
28843	662	1072	D		ADDR1057					
28843	663	10585	D		ADDR10570					
28843	664	10586	D		ADDR10571					
28843	665	10587	D		ADDR10572					
28843	666	10588	D		ADDR10573					
28843	667	10589	D		ADDR10574					
28843	668	10590	D		ADDR10575					
28843	669	10591	D		ADDR10576					
28843	670	10592	D		ADDR10577					
28843	671	10593	D		ADDR10578					
28843	672	10594	D		ADDR10579					
28843	673	1073	D		ADDR1058					
28843	674	10595	D		ADDR10580					
28843	675	10596	D		ADDR10581					
28843	676	10597	D		ADDR10582					
28843	677	10598	D		ADDR10583					
28843	678	10599	D		ADDR10584					
28843	679	10600	D		ADDR10585					
28843	680	10601	D		ADDR10586					
28843	681	10602	D		ADDR10587					
28843	682	10603	D		ADDR10588					
28843	683	10604	D		ADDR10589					
28843	684	1074	D		ADDR1059					
28843	685	10605	D		ADDR10590					
28843	686	10606	D		ADDR10591					
28843	687	10607	D		ADDR10592					
28843	688	10608	D		ADDR10593					
28843	689	10609	D		ADDR10594					
28843	690	10610	D		ADDR10595					
28843	691	10611	D		ADDR10596					
28843	692	10612	D		ADDR10597					
28843	693	10613	D		ADDR10598					
28843	694	10614	D		ADDR10599					
28843	695	121	D		ADDR106					
28843	696	1075	D		ADDR1060					
28843	697	10615	D		ADDR10600					
28843	698	10616	D		ADDR10601					
28843	699	10617	D		ADDR10602					
28843	700	10618	D		ADDR10603					
28843	701	10619	D		ADDR10604					
28843	702	10620	D		ADDR10605					
28843	703	10621	D		ADDR10606					
28843	704	10622	D		ADDR10607					
28843	705	10623	D		ADDR10608					
28843	706	10624	D		ADDR10609					
28843	707	1076	D		ADDR1061					
28843	708	10625	D		ADDR10610					
28843	709	10626	D		ADDR10611					
28843	710	10627	D		ADDR10612					
28843	711	10628	D		ADDR10613					
28843	712	10629	D		ADDR10614					
28843	713	10630	D		ADDR10615					
28843	714	10631	D		ADDR10616					
28843	715	10632	D		ADDR10617					
28843	716	10633	D		ADDR10618					
28843	717	10634	D		ADDR10619					
28843	718	1077	D		ADDR1062					
28843	719	10635	D		ADDR10620					
28843	720	10636	D		ADDR10621					
28843	721	10637	D		ADDR10622					
28843	722	10638	D		ADDR10623					
28843	723	10639	D		ADDR10624					
28843	724	10640	D		ADDR10625					
28843	725	10641	D		ADDR10626					
28843	726	10642	D		ADDR10627					
28843	727	10643	D		ADDR10628					
28843	728	10644	D		ADDR10629					
28843	729	1078	D		ADDR1063					
28843	730	10645	D		ADDR10630					
28843	731	10646	D		ADDR10631					
28843	732	10647	D		ADDR10632					
28843	733	10648	D		ADDR10633					
28843	734	10649	D		ADDR10634					
28843	735	10650	D		ADDR10635					
28843	736	10651	D		ADDR10636					
28843	737	10652	D		ADDR10637					
28843	738	10653	D		ADDR10638					
